x,y,STATION_NAME,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DATE
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,12.1,32,,2012-06-07 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,12.3,37,,2012-06-08 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,13,32,,2012-06-09 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,12.4,48,,2012-06-10 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,13,0,,2012-06-11 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,13.3,43,,2012-06-12 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,13.8,39,,2012-06-13 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,15.9,35,,2012-06-14 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,15.9,44,,2012-06-15 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,12.6,41,,2012-06-16 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,11.5,0,,2012-06-17 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,11.1,35,,2012-06-18 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,11.7,41,,2012-06-19 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,18.5,39,,2012-06-20 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,20.6,32,,2012-06-21 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19.5,33,,2012-06-22 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,14,32,,2012-06-23 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,14.9,0,,2012-06-24 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,17.5,44,,2012-06-25 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,14.9,57,,2012-06-26 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,16.5,46,,2012-06-27 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,15.8,0,,2012-06-28 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,17.4,52,,2012-06-29 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,18.3,43,,2012-06-30 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,18.5,37,,2012-07-01 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19.1,37,,2012-07-02 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19,33,,2012-07-03 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,16.4,0,,2012-07-04 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19.4,0,,2012-07-05 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19.7,0,,2012-07-06 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,20.2,0,,2012-07-07 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,20,43,,2012-07-08 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,17.1,44,,2012-07-09 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,15.9,44,,2012-07-10 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,16.6,35,,2012-07-11 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,18.2,54,,2012-07-12 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19.4,33,,2012-07-13 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,20.6,0,,2012-07-14 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,20.6,0,,2012-07-15 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19.7,35,,2012-07-16 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,19.9,32,,2012-07-17 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,21.3,39,,2012-07-18 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,18.8,50,,2012-07-19 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,15.4,35,,2012-07-20 00:00:00
-65.89,45.31611111111111,SAINT JOHN A,NB,8104901,16.2,0,,2012-07-21 00:00:00
