x,y,STATION_NAME,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,LOCAL_DATE
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-7.5,33,,2014-01-17 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-1.6,35,,2014-01-18 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-11.7,0,,2014-01-19 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-20,0,,2014-01-20 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-15,44,,2014-01-21 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-8.2,0,,2014-01-22 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-2.5,0,,2014-01-23 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-2.3,0,,2014-01-24 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-5.5,0,,2014-01-25 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-9.9,0,,2014-01-26 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-15.9,0,,2014-01-27 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-18.4,0,,2014-01-28 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-12.5,0,,2014-01-29 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-10.3,0,,2014-01-30 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-14.6,0,,2014-01-31 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-18.6,0,,2014-02-01 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-21.9,0,,2014-02-02 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-28.4,0,,2014-02-03 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-29.5,0,,2014-02-04 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-30.8,0,,2014-02-05 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-29.1,0,,2014-02-06 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-20.4,0,,2014-02-07 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-25.2,0,,2014-02-08 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-30.8,0,,2014-02-09 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-37,0,,2014-02-10 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-38.9,0,,2014-02-11 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-40,0,,2014-02-12 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-30.7,39,,2014-02-13 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-16.8,0,,2014-02-14 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-11.8,48,,2014-02-15 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-7.5,46,,2014-02-16 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-13.5,33,,2014-02-17 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-13.4,0,,2014-02-18 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-21.7,32,,2014-02-19 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-23.8,37,,2014-02-20 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-27.5,0,,2014-02-21 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-23,0,,2014-02-22 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-27.2,0,,2014-02-23 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-23.2,0,,2014-02-24 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-20.5,0,,2014-02-25 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-21.7,0,,2014-02-26 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-18.9,0,,2014-02-27 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-15,35,,2014-02-28 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-18,32,,2014-03-01 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-20.8,0,,2014-03-02 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-23.1,0,,2014-03-03 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-22.7,0,,2014-03-04 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-22.4,0,,2014-03-05 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-20.7,32,,2014-03-06 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-21.8,32,,2014-03-07 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-21.5,0,,2014-03-08 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-15.3,39,,2014-03-09 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-15.4,35,,2014-03-10 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-0.7,39,,2014-03-11 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-5.1,0,,2014-03-12 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-5.2,39,,2014-03-13 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-0.8,39,,2014-03-14 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-3.1,0,,2014-03-15 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-8,0,,2014-03-16 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-7.5,0,,2014-03-17 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-9.5,0,,2014-03-18 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-10.4,0,,2014-03-19 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-12.1,0,,2014-03-20 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-10.4,0,,2014-03-21 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-13,33,,2014-03-22 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-12.7,0,,2014-03-23 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-14.6,0,,2014-03-24 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-12.7,0,,2014-03-25 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-12.4,0,,2014-03-26 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-12.1,0,,2014-03-27 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-10.9,0,,2014-03-28 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-9.3,0,,2014-03-29 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-7.6,0,,2014-03-30 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-9,0,,2014-03-31 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-9.2,0,,2014-04-01 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-7.8,32,,2014-04-02 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-5.8,0,,2014-04-03 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-6.3,0,,2014-04-04 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-2.6,0,,2014-04-05 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-2.3,0,,2014-04-06 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-2.8,41,,2014-04-07 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-2.5,33,,2014-04-08 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-3.1,32,,2014-04-09 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-6.8,0,,2014-04-10 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-9.3,35,,2014-04-11 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,-4.8,33,,2014-04-12 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,1.1,0,,2014-04-13 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,4.7,0,,2014-04-14 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,2.5,32,,2014-04-15 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5,41,,2014-04-16 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,4.5,35,,2014-04-17 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,3,32,,2014-04-18 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,2.6,0,,2014-04-19 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5.8,0,,2014-04-20 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5.8,0,,2014-04-21 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,4.1,37,,2014-04-22 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5,41,,2014-04-23 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,4.7,50,,2014-04-24 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,3.5,32,,2014-04-25 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,7.1,39,,2014-04-26 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5.1,0,,2014-04-27 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5.9,50,,2014-04-28 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,4.8,35,,2014-04-29 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5.8,41,,2014-04-30 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5.4,0,,2014-05-01 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,6.7,35,,2014-05-02 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,7.3,0,,2014-05-03 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,8.9,32,,2014-05-04 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,10.1,0,,2014-05-05 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,11.5,0,,2014-05-06 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,9.3,0,,2014-05-07 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,9.2,33,,2014-05-08 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,9.4,33,,2014-05-09 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,10.5,33,,2014-05-10 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,11.9,35,,2014-05-11 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,9.6,0,,2014-05-12 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,11.2,39,,2014-05-13 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,9.7,37,,2014-05-14 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,8.1,0,,2014-05-15 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.7,33,,2014-05-16 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.8,0,,2014-05-17 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,9.2,33,,2014-05-18 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,7.7,50,,2014-05-19 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,3.8,37,,2014-05-20 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,5.4,0,,2014-05-21 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,7.6,41,,2014-05-22 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,6.7,41,,2014-05-23 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,8.3,52,,2014-05-24 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,10.3,61,,2014-05-25 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,11.6,35,,2014-05-26 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.8,0,,2014-05-27 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.4,0,,2014-05-28 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.8,0,,2014-05-29 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.3,37,,2014-05-30 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.6,72,,2014-05-31 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,7.9,44,,2014-06-01 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,7.1,33,,2014-06-02 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,,0,,2014-06-03 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,8.8,56,,2014-06-04 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,9.8,41,,2014-06-05 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.6,41,,2014-06-06 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.9,39,,2014-06-07 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.6,37,,2014-06-08 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.1,0,,2014-06-09 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.6,35,,2014-06-10 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.4,37,,2014-06-11 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.4,0,,2014-06-12 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.3,43,,2014-06-13 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,10.7,0,,2014-06-14 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.6,0,,2014-06-15 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.1,43,,2014-06-16 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.9,46,,2014-06-17 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,10.8,44,,2014-06-18 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.3,0,,2014-06-19 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.7,48,,2014-06-20 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.2,32,,2014-06-21 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.1,43,,2014-06-22 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.1,0,,2014-06-23 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,18.7,35,,2014-06-24 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.8,0,,2014-06-25 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,11.6,32,,2014-06-26 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.3,0,,2014-06-27 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16,32,,2014-06-28 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,18.3,0,,2014-06-29 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.9,0,,2014-06-30 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.6,0,,2014-07-01 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.4,43,,2014-07-02 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.7,52,,2014-07-03 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.8,35,,2014-07-04 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,21.1,32,,2014-07-05 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.4,0,,2014-07-06 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.3,32,,2014-07-07 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.3,0,,2014-07-08 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.2,37,,2014-07-09 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.8,44,,2014-07-10 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,18.7,37,,2014-07-11 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.3,0,,2014-07-12 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,18.6,46,,2014-07-13 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,18.1,37,,2014-07-14 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.6,48,,2014-07-15 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.1,41,,2014-07-16 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.8,41,,2014-07-17 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.7,0,,2014-07-18 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.5,35,,2014-07-19 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.1,0,,2014-07-20 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.5,0,,2014-07-21 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16,0,,2014-07-22 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.8,35,,2014-07-23 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17.6,0,,2014-07-24 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.4,0,,2014-07-25 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13.5,0,,2014-07-26 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16,0,,2014-07-27 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.4,0,,2014-07-28 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.8,33,,2014-07-29 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.3,39,,2014-07-30 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,10.7,0,,2014-07-31 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.9,44,,2014-08-01 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.6,32,,2014-08-02 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,16.7,0,,2014-08-03 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,18.4,0,,2014-08-04 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15,32,,2014-08-05 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.5,37,,2014-08-06 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,12.3,46,,2014-08-07 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.1,33,,2014-08-08 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,13,33,,2014-08-09 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.6,32,,2014-08-10 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,17,0,,2014-08-11 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.5,0,,2014-08-12 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,14.8,0,,2014-08-13 00:00:00
-135.86833333333334,63.61638888888889,MAYO A,YT,2100701,15.2,0,,2014-08-14 00:00:00
