Longitude,Latitude,Name,Province,Climate ID,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,Date,Station ID
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.9,,,1999-06-01 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.3,,,1999-06-02 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.0,,,1999-06-03 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.4,,,1999-06-04 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,5.7,,,1999-06-05 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,5.2,,,1999-06-06 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,3.5,,,1999-06-07 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.5,,,1999-06-08 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.9,,,1999-06-09 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.2,,,1999-06-10 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.3,,,1999-06-11 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.2,,,1999-06-12 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.4,,,1999-06-13 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.1,,,1999-06-14 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,21.0,,,1999-06-15 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,21.5,,,1999-06-16 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,22.8,,,1999-06-17 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,22.6,,,1999-06-18 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,23.2,,,1999-06-19 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.1,,,1999-06-20 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.4,,,1999-06-21 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.0,,,1999-06-22 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,9.4,,,1999-06-23 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.8,,,1999-06-24 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.9,,,1999-06-25 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.2,,,1999-06-26 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.3,,,1999-06-27 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.2,,,1999-06-28 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.4,,,1999-06-29 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.5,,,1999-06-30 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.2,,,1999-08-01 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.1,,,1999-08-02 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.6,,,1999-08-03 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.2,,,1999-08-04 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,16.6,,,1999-08-05 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.7,,,1999-08-06 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.3,,,1999-08-07 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.6,,,1999-08-08 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.3,,,1999-08-09 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.0,,,1999-08-10 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.3,,,1999-08-11 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.8,,,1999-08-12 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,16.0,,,1999-08-13 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.5,,,1999-08-14 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.6,,,1999-08-15 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.5,,,1999-08-16 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.1,,,1999-08-17 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,16.7,,,1999-08-18 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.9,,,1999-08-19 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.5,,,1999-08-20 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,16.8,,,1999-08-21 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.4,,,1999-08-22 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.1,,,1999-08-23 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.2,,,1999-08-24 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.5,,,1999-08-25 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.8,,,1999-08-26 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.4,,,1999-08-27 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.8,,,1999-08-28 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.1,,,1999-08-29 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,9.2,,,1999-08-30 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.9,,,1999-08-31 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.5,,,1999-09-01 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.8,,,1999-09-02 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.9,,,1999-09-03 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.4,,,1999-09-04 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.5,,,1999-09-05 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.8,,,1999-09-06 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.9,,,1999-09-07 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.1,,,1999-09-08 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.7,,,1999-09-09 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.3,,,1999-09-10 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.6,,,1999-09-11 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.7,,,1999-09-12 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.5,,,1999-09-13 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.2,,,1999-09-14 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.6,,,1999-09-15 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.0,,,1999-09-16 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.2,,,1999-09-17 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.9,,,1999-09-18 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.3,,,1999-09-19 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.0,,,1999-09-20 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.3,,,1999-09-21 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.0,,,1999-09-22 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.1,,,1999-09-23 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.6,,,1999-09-24 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.8,,,1999-09-25 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.2,,,1999-09-26 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,5.9,,,1999-09-27 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.3,,,1999-09-28 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,2.7,,,1999-09-29 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,1.9,,,1999-09-30 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.7,,,2000-08-01 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,19.4,,,2000-08-02 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,19.4,,,2000-08-03 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.6,,,2000-08-04 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.7,,,2000-08-05 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.4,,,2000-08-06 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.9,,,2000-08-07 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.9,,,2000-08-08 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.9,,,2000-08-09 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.3,,,2000-08-10 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.9,,,2000-08-11 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.5,,,2000-08-12 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.8,,,2000-08-13 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.5,,,2000-08-14 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.4,,,2000-08-15 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.8,,,2000-08-16 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.4,,,2000-08-17 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.5,,,2000-08-18 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.2,,,2000-08-19 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.1,,,2000-08-20 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.4,,,2000-08-21 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.9,,,2000-08-22 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.3,,,2000-08-23 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.5,,,2000-08-24 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.6,,,2000-08-25 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.3,,,2000-08-26 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,9.7,,,2000-08-27 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.2,,,2000-08-28 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.1,,,2000-08-29 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.5,,,2000-08-30 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.5,,,2000-08-31 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.3,,,2000-09-01 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.1,,,2000-09-02 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.4,,,2000-09-03 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.6,,,2000-09-04 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.5,,,2000-09-05 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.4,,,2000-09-06 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.9,,,2000-09-07 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,9.4,,,2000-09-08 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.4,,,2000-09-09 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.3,,,2000-09-10 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.4,,,2000-09-11 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.9,,,2000-09-12 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,9.9,,,2000-09-13 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.8,,,2000-09-14 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.2,,,2000-09-15 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,9.3,,,2000-09-16 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,5.2,,,2000-09-17 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.5,,,2000-09-18 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.3,,,2000-09-19 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,4.1,,,2000-09-20 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,4.7,,,2000-09-21 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.6,,,2000-09-22 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.0,,,2000-09-23 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.0,,,2000-09-24 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,1.2,,,2000-09-25 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-0.1,,,2000-09-26 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,4.7,,,2000-09-27 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,4.1,,,2000-09-28 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,4.3,,,2000-09-29 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,3.4,,,2000-09-30 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-0.6,,,2000-10-01 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-0.9,,,2000-10-02 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-1.4,,,2000-10-03 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-2.1,,,2000-10-04 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-0.3,,,2000-10-05 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,5.4,,,2000-10-06 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.4,,,2000-10-07 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.6,,,2000-10-08 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,7.3,,,2000-10-09 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.2,,,2000-10-10 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.4,,,2000-10-11 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,4.4,,,2000-10-12 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-0.3,,,2000-10-13 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,3.3,,,2000-10-14 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.7,,,2000-10-15 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,6.0,,,2000-10-16 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,5.2,,,2000-10-17 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,4.8,,,2000-10-18 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,1.7,,,2000-10-19 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,1.3,,,2000-10-20 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,1.2,,,2000-10-21 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,0.1,,,2000-10-22 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,0.6,,,2000-10-23 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-0.3,,,2000-10-24 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-4.8,,,2000-10-25 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-5.5,,,2000-10-26 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-1.5,,,2000-10-27 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-3.6,,,2000-10-28 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-3.8,,,2000-10-29 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-10.4,,,2000-10-30 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,-8.9,,,2000-10-31 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.9,,,2001-07-01 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,10.7,,,2001-07-02 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.9,,,2001-07-03 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.6,,,2001-07-04 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.9,,,2001-07-05 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.6,,,2001-07-06 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,8.0,,,2001-07-07 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,9.4,,,2001-07-08 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.6,,,2001-07-09 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,14.9,,,2001-07-10 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.7,,,2001-07-11 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.5,,,2001-07-12 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,15.7,,,2001-07-13 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.1,,,2001-07-14 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,11.8,,,2001-07-15 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,12.3,,,2001-07-16 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.4,,,2001-07-17 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.2,,,2001-07-18 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.7,,,2001-07-19 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.0,,,2001-07-20 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,13.5,,,2001-07-21 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,16.0,,,2001-07-22 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,16.9,,,2001-07-23 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,17.3,,,2001-07-24 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,19.5,,,2001-07-25 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.5,,,2001-07-26 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.6,,,2001-07-27 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.2,,,2001-07-28 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.8,,,2001-07-29 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,18.8,,,2001-07-30 00:00:00,2082
-115.32333333333334,61.17722222222222,GREAT SLAVE LAKE BUOY,NT,220KLML,16.6,,,2001-07-31 00:00:00,2082
