Longitude,Latitude,Climate ID,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Province,Name,SPEED_MAX_GUST,Date,Station ID
-126.123075,67.0214,2200824,-4.9,95.0,NT,COLVILLE LAKE,,2022-10-12 00:00:00,1938
-126.123075,67.0214,2200824,-1.7,98.0,NT,COLVILLE LAKE,37.0,2022-10-19 00:00:00,1938
-126.123075,67.0214,2200824,-6.2,88.0,NT,COLVILLE LAKE,40.0,2022-10-14 00:00:00,1938
-126.123075,67.0214,2200824,3.3,85.0,NT,COLVILLE LAKE,32.0,2022-10-08 00:00:00,1938
-126.123075,67.0214,2200824,-2.8,91.0,NT,COLVILLE LAKE,41.0,2022-10-16 00:00:00,1938
-126.123075,67.0214,2200824,-1.9,95.0,NT,COLVILLE LAKE,54.0,2022-10-02 00:00:00,1938
-126.123075,67.0214,2200824,5.0,97.0,NT,COLVILLE LAKE,34.0,2022-10-06 00:00:00,1938
-126.123075,67.0214,2200824,-3.3,88.0,NT,COLVILLE LAKE,49.0,2022-10-11 00:00:00,1938
-126.123075,67.0214,2200824,-7.6,94.0,NT,COLVILLE LAKE,,2022-10-21 00:00:00,1938
-126.123075,67.0214,2200824,0.0,99.0,NT,COLVILLE LAKE,,2022-10-18 00:00:00,1938
-126.123075,67.0214,2200824,-9.2,88.0,NT,COLVILLE LAKE,,2022-10-23 00:00:00,1938
-126.123075,67.0214,2200824,1.4,97.0,NT,COLVILLE LAKE,58.0,2022-10-10 00:00:00,1938
-126.123075,67.0214,2200824,-8.7,92.0,NT,COLVILLE LAKE,,2022-10-22 00:00:00,1938
-126.123075,67.0214,2200824,1.3,93.0,NT,COLVILLE LAKE,34.0,2022-10-05 00:00:00,1938
-126.123075,67.0214,2200824,5.6,92.0,NT,COLVILLE LAKE,,2022-10-09 00:00:00,1938
-126.123075,67.0214,2200824,-3.9,94.0,NT,COLVILLE LAKE,43.0,2022-10-13 00:00:00,1938
-126.123075,67.0214,2200824,-4.9,95.0,NT,COLVILLE LAKE,,2022-10-20 00:00:00,1938
-126.123075,67.0214,2200824,-8.2,91.0,NT,COLVILLE LAKE,,2022-10-15 00:00:00,1938
-126.123075,67.0214,2200824,,,NT,COLVILLE LAKE,,2022-10-03 00:00:00,1938
-126.123075,67.0214,2200824,-2.8,94.0,NT,COLVILLE LAKE,32.0,2022-10-04 00:00:00,1938
-126.123075,67.0214,2200824,1.1,94.0,NT,COLVILLE LAKE,37.0,2022-10-17 00:00:00,1938
-126.123075,67.0214,2200824,8.4,96.0,NT,COLVILLE LAKE,34.0,2022-10-07 00:00:00,1938
-126.123075,67.0214,2200824,-13.3,82.0,NT,COLVILLE LAKE,,2022-10-30 00:00:00,1938
-126.123075,67.0214,2200824,-9.9,85.0,NT,COLVILLE LAKE,34.0,2022-10-28 00:00:00,1938
-126.123075,67.0214,2200824,-9.2,86.0,NT,COLVILLE LAKE,,2022-10-29 00:00:00,1938
-126.123075,67.0214,2200824,-10.2,90.0,NT,COLVILLE LAKE,,2022-10-25 00:00:00,1938
-126.123075,67.0214,2200824,-16.9,84.0,NT,COLVILLE LAKE,,2022-10-31 00:00:00,1938
-126.123075,67.0214,2200824,-8.6,91.0,NT,COLVILLE LAKE,33.0,2022-10-26 00:00:00,1938
-126.123075,67.0214,2200824,-9.1,92.0,NT,COLVILLE LAKE,,2022-10-24 00:00:00,1938
-126.123075,67.0214,2200824,-9.4,82.0,NT,COLVILLE LAKE,31.0,2022-10-27 00:00:00,1938
-126.123075,67.0214,2200824,-11.8,89.0,NT,COLVILLE LAKE,44.0,2022-11-03 00:00:00,1938
-126.123075,67.0214,2200824,-15.7,84.0,NT,COLVILLE LAKE,49.0,2022-11-02 00:00:00,1938
-126.123075,67.0214,2200824,-15.5,79.0,NT,COLVILLE LAKE,,2022-11-01 00:00:00,1938
